"title","url","stars","name","reviewUrl","text"
"Wisata Bukit Jaddhih","https://www.google.com/maps/search/?api=1&query=Wisata%20Bukit%20Jaddhih&query_place_id=ChIJnbessF4E2C0RVW95_QKvJEo","1","Virgi Nia","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21OTFExbzRXV1JuWDJScVQxODVRVzQ1YTB4VkxXYxAB!2m1!1s0x0:0x4a24af02fd796f55!3m1!1s2@1:CAIQACodChtycF9oOmNLQ1o4WWRnX2RqT185QW45a0xVLWc%7C%7C?hl=id","Kecewa bangttt"
"Wisata Bukit Jaddhih","https://www.google.com/maps/search/?api=1&query=Wisata%20Bukit%20Jaddhih&query_place_id=ChIJnbessF4E2C0RVW95_QKvJEo","5","Lux Arcadia","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tKNmIwaHZkVmQxV2xob01GWTBSM1pmWkV3NFJHYxAB!2m1!1s0x0:0x4a24af02fd796f55!3m1!1s2@1:CAIQACodChtycF9oOkJ6b0hvdVd1WlhoMFY0R3ZfZEw4RGc%7C%7C?hl=id",
"Wisata Bukit Jaddhih","https://www.google.com/maps/search/?api=1&query=Wisata%20Bukit%20Jaddhih&query_place_id=ChIJnbessF4E2C0RVW95_QKvJEo","5","Hendry Hamim","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2paM2JtaElSRmswWmpSWFZqWnJTR3h1Um1sUE1XYxAB!2m1!1s0x0:0x4a24af02fd796f55!3m1!1s2@1:CAIQACodChtycF9oOjZ3bmhIRFk0ZjRXVjZrSGxuRmlPMWc%7C%7C?hl=id","Bukit Jaddih! 🌟 Lokasinya di Madura, Jawa Timur. Bukit Jaddih adalah sebuah bukit yang unik dan menjadi destinasi wisata populer karena keindahan alamnya.

*Keindahan Bukit Jaddih:*

- _Bukit kapur_ yang unik dan menarik
- _Pemandangan_ yang indah dan luas
- _Fotografi_ yang menarik dengan latar bukit kapur

*Aktivitas:*

- _Jelajahi_ bukit dengan berjalan kaki
- _Piknik_ di area yang telah disediakan
- _Fotografi_ dengan latar bukit yang unik

Bukit Jaddih adalah destinasi wisata yang ideal untuk menikmati keindahan alam yang unik. 😊"
"Wisata Bukit Jaddhih","https://www.google.com/maps/search/?api=1&query=Wisata%20Bukit%20Jaddhih&query_place_id=ChIJnbessF4E2C0RVW95_QKvJEo","5","Wahyu Wahyudin","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25SNFZrTXlibTQyTjFac1dYaGhSVUk0VjJkUFZIYxAB!2m1!1s0x0:0x4a24af02fd796f55!3m1!1s2@1:CAIQACodChtycF9oOnR4VkMybm42N1ZsWXhhRUI4V2dPVHc%7C%7C?hl=id",
"Wisata Bukit Jaddhih","https://www.google.com/maps/search/?api=1&query=Wisata%20Bukit%20Jaddhih&query_place_id=ChIJnbessF4E2C0RVW95_QKvJEo","5","Salman Al farizi","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21kVWEzQkZXRnBsV2xkNGNWTXlRMXBqY2xGVWJFRRAB!2m1!1s0x0:0x4a24af02fd796f55!3m1!1s2@1:CAIQACodChtycF9oOmdUa3BFWFplWld4cVMyQ1pjclFUbEE%7C%7C?hl=id",
"Wisata Bukit Jaddhih","https://www.google.com/maps/search/?api=1&query=Wisata%20Bukit%20Jaddhih&query_place_id=ChIJnbessF4E2C0RVW95_QKvJEo","5","iftah Ainal Fahri","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25GVGJrVTBNWFZFTlc1dFEzTm9TVUpmTVV4MlZFRRAB!2m1!1s0x0:0x4a24af02fd796f55!3m1!1s2@1:CAIQACodChtycF9oOnFTbkU0MXVENW5tQ3NoSUJfMUx2VEE%7C%7C?hl=id",
"Wisata Bukit Jaddhih","https://www.google.com/maps/search/?api=1&query=Wisata%20Bukit%20Jaddhih&query_place_id=ChIJnbessF4E2C0RVW95_QKvJEo","4","Hawa juniar","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2s1MGRHbHJUbUV0YlcxVVIwdHRNRWhJWTE5V2VIYxAB!2m1!1s0x0:0x4a24af02fd796f55!3m1!1s2@1:CAIQACodChtycF9oOk50dGlrTmEtbW1UR0ttMEhIY19WeHc%7C%7C?hl=id",
"Wisata Bukit Jaddhih","https://www.google.com/maps/search/?api=1&query=Wisata%20Bukit%20Jaddhih&query_place_id=ChIJnbessF4E2C0RVW95_QKvJEo","1","aldy nagendra","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21rMFFqWldXRlpGZFhBNWEzZEhPSHBZUWxkR1duYxAB!2m1!1s0x0:0x4a24af02fd796f55!3m1!1s2@1:CAIQACodChtycF9oOmk0QjZWWFZFdXA5a3dHOHpYQldGWnc%7C%7C?hl=id","Banyak pungutan liar, sekitar jalan sana sering terjadi begal curanmor"
"Wisata Bukit Jaddhih","https://www.google.com/maps/search/?api=1&query=Wisata%20Bukit%20Jaddhih&query_place_id=ChIJnbessF4E2C0RVW95_QKvJEo","5","Ivana Elza Harefa","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21SRWFWZFdRMDVmUTJRelMwUmxTeTFwUXpCNWFHYxAB!2m1!1s0x0:0x4a24af02fd796f55!3m1!1s2@1:CAIQACodChtycF9oOmREaVdWQ05fQ2QzS0RlSy1pQzB5aGc%7C%7C?hl=id","Tempat wisata alam yang unik, karena di sini juga masih ada tambang batu kapur putih yang beroperasi. Akses jalan ke lokasi masih banyak yang rusak jadi harus hati-hati. Ada biaya parkir kendaraan (mobil 20.000) dan tiket masuk (5.000 per orang). Tambahan biaya seikhlasnya untuk tip warga lokal yang bantu wisatawan keliling area bukit jaddih dan mendokumentasikan pakai hp masing-masing wisatawan. Hari ini ditemani Mas Ahsan yang baik dan jago foto. Semoga pemerintah kota memperhatikan potensi wisata bukit jaddih ini, jadi bisa tetap eksis dan terawat hehehe 🤍🙏🏻"
"Wisata Bukit Jaddhih","https://www.google.com/maps/search/?api=1&query=Wisata%20Bukit%20Jaddhih&query_place_id=ChIJnbessF4E2C0RVW95_QKvJEo","5","Ciko","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2s5cFJ6TkZVV0ptWkROVVptUlVPWFUyYnpSek1FRRAB!2m1!1s0x0:0x4a24af02fd796f55!3m1!1s2@1:CAIQACodChtycF9oOk9pRzNFUWJmZDNUZmRUOXU2bzRzMEE%7C%7C?hl=id",
